probe ID,primary,secondary,dG_md,ddG_md,Kd_md,Kd_SDS/Kd_PFOS
00076,"[""CF"", ""CF"", ""CF"", ""CF"", ""CF"", ""CF"", ""CF""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-52.19171488505847, 0.763767100685423]","[-15.811581824321486, 1.4070073842127526]","[8.173316923038144e-10, 2.5055890870599496e-10]","[566.6717404239579, 319.78850231328784]"
00079,"[""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-24.1934030248123, 1.1362948431978952]","[5.499646694458779, 2.1357166424382297]","[6.130068532834677e-05, 2.792177200772552e-05]","[0.11028942636301804, 0.09442314342440788]"
00405,"[""C(F)(F)C(F)(F)F"", ""[OH]"", ""C(F)(F)C(F)(F)F"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-51.473011101853785, 0.49761343253242796]","[-17.51896429518628, 1.2255743884525008]","[1.0908016006805878e-09, 2.1735898346107957e-10]","[1123.0614832531985, 551.7603684497755]"
00407,"[""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-44.76986097510054, 0.8131043752242614]","[-11.221181837487975, 1.2549910284008525]","[1.6025882055350946e-08, 5.230486834073486e-09]","[89.88610914420995, 45.25035444681239]"
00418,"[""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-38.76241972763255, 1.2213557058943683]","[-12.154979042238583, 2.1846695315372253]","[1.7816721693429243e-07, 8.72394064093833e-08]","[130.69947670807971, 114.4900457246304]"
00422,"[""C(F)(F)F"", ""[OH]"", ""[OH]"", ""C(F)(F)F"", ""[OH]"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-40.878230596030036, 0.3889810584856904]","[-14.50769045847587, 0.8017320947733174]","[7.625138750969654e-08, 1.1904169816773529e-08]","[335.92994842344797, 107.95929523107517]"
00437,"[""C(Cl)(Cl)Cl"", ""[OH]"", ""C(Cl)(Cl)Cl"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-41.59018860104213, 0.5220363219388812]","[-10.148360057240389, 1.0891191377634808]","[5.7328817118443755e-08, 1.2012602202024561e-08]","[58.50256070134214, 25.55067108261204]"
00464,"[""CC"", ""CC"", ""CC"", ""CC"", ""CC"", ""CC"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-50.58204688891829, 0.7675472862310542]","[-6.963941033412503, 2.3729545798598175]","[1.559136930842958e-09, 4.795190636910033e-10]","[16.313635429595593, 15.520688008251598]"
00487,"[""C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl"", ""C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl"", ""[OH]"", ""[OH]"", ""C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-43.40762232638753, 1.1708444745070612]","[0.49254513429665536, 2.4660186706858944]","[2.7667079746792995e-08, 1.2987116619436003e-08]","[0.8209357958228275, 0.811610762921848]"
00517,"[""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-52.030449986648954, 0.6129425641343669]","[-15.965596127688023, 1.2744863924829841]","[8.725475160278442e-10, 2.143816141844737e-10]","[602.2218437844109, 307.75369468203706]"
00523,"[""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""[OH]"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-44.577914004294335, 1.1550960670539943]","[-24.881429194211044, 2.2017218868257555]","[1.7296153266483822e-08, 8.010792720805261e-09]","[21507.910931217353, 18985.526036976873]"
00524,"[""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""[OH]"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""[OH]"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-46.01887208470046, 0.6960340536959031]","[-14.856208598160872, 1.8031277421556438]","[9.71251641822525e-09, 2.710706066350362e-09]","[386.18836785358985, 279.19573073325665]"
00525,"[""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-49.51358873415698, 1.4914123923321996]","[-18.934051355063808, 2.116075452644694]","[2.3909686758084574e-09, 1.4316097473459866e-09]","[1981.6404814875914, 1681.9351851004837]"
00526,"[""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""[OH]"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-36.12094557408629, 1.1706039551546703]","[0.6295950034449049, 2.6280964962461955]","[5.136131187469218e-07, 2.411355943861911e-07]","[0.7770123033182247, 0.8188913045585969]"
00527,"[""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""[OH]"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-45.1911109759251, 1.0016051965936656]","[-8.518910179491634, 2.2230031261568652]","[1.3533709625870923e-08, 5.440927988875568e-09]","[30.440955010573827, 27.13552729543313]"
00528,"[""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-39.35602579764595, 1.4197220738346825]","[-10.338511464799339, 2.539860170733781]","[1.4042304525824128e-07, 7.99129610602956e-08]","[63.10174498752306, 64.26151937476166]"
00531,"[""CCC"", ""[OH]"", ""CCC"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-50.08742118702961, 0.5527439178940247]","[-16.705078530363267, 1.224444004674797]","[1.900016730464251e-09, 4.2080122775790455e-10]","[810.6953361835082, 397.91879000208263]"
00543,"[""CCC"", ""CCC"", ""CCC"", ""[OH]"", ""CCC"", ""CCC"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-47.088281510074054, 0.34212147761099093]","[-12.056453083125376, 1.6140362034158338]","[6.324495589468797e-09, 8.665030660587445e-10]","[125.71945802348651, 81.32986015431638]"
00544,"[""CCC"", ""CCC"", ""CCC"", ""CCC"", ""CCC"", ""CCC"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-48.655951082081955, 0.6786876740353202]","[-10.04018457058703, 1.8066647284653201]","[3.3751887113187886e-09, 9.182389501213188e-10]","[56.00031040704977, 40.55946618164724]"
00600,"[""C(Br)(Br)Br"", ""C(Br)(Br)Br"", ""C(Br)(Br)Br"", ""C(Br)(Br)Br"", ""[OH]"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-44.52210899031152, 0.6412062748319302]","[-6.719382658104003, 1.7741771551582837]","[1.768412594801164e-08, 4.5344812351090076e-09]","[14.804133096590089, 10.525913658105774]"
00620,"[""C(Br)(Br)C(Br)(Br)Br"", ""C(Br)(Br)C(Br)(Br)Br"", ""C(Br)(Br)C(Br)(Br)Br"", ""C(Br)(Br)C(Br)(Br)Br"", ""C(Br)(Br)C(Br)(Br)Br"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-48.82152866025304, 1.7333817907681075]","[-18.219915939188663, 2.817245140323378]","[3.1570275151761212e-09, 2.1934414136224796e-09]","[1487.7449205818987, 1680.0124600102765]"
00639,"[""C(Br)(Br)C(Br)(Br)C(Br)(Br)Br"", ""C(Br)(Br)C(Br)(Br)C(Br)(Br)Br"", ""C(Br)(Br)C(Br)(Br)C(Br)(Br)Br"", ""C(Br)(Br)C(Br)(Br)C(Br)(Br)Br"", ""C(Br)(Br)C(Br)(Br)C(Br)(Br)Br"", ""C(Br)(Br)C(Br)(Br)C(Br)(Br)Br"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-13.83432116415199, 3.7533593244025782]","[30.7112093879001, 4.808287913118196]","[0.0039018731160694294, 0.005871331376184578]","[4.4950446732507945e-06, 8.664778959815281e-06]"
00664,"[""COC"", ""COC"", ""COC"", ""COC"", ""[OH]"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-30.182592541826615, 0.3891463904804567]","[-5.482396135136064, 0.8638426407356405]","[5.555705219694522e-06, 8.666712458753582e-07]","[9.006400919072059, 3.1187456218605942]"
00665,"[""COC"", ""COC"", ""[OH]"", ""COC"", ""COC"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-41.74398791045348, 0.47182621424936827]","[-12.32148581126286, 0.7589894468399309]","[5.391194860480109e-08, 1.0205662739260438e-08]","[139.75868501174358, 42.53399828362735]"
00700,"[""COCOCOC"", ""COCOCOC"", ""COCOCOC"", ""COCOCOC"", ""[OH]"", ""COCOCOC"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-31.149565442913875, 1.069101750673377]","[0.7206010045646636, 1.845167358771549]","[3.770758810294515e-06, 1.6163256530754362e-06]","[0.7489937182148483, 0.5540880329389049]"
00709,"[""CCl"", ""CCl"", ""[OH]"", ""[OH]"", ""CCl"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-35.40229527586497, 0.36991225709842807]","[-3.716595861744999, 1.3908844794729203]","[6.852570743946697e-07, 1.0171842982725853e-07]","[4.438127874251824, 2.475646323266919]"
00713,"[""CCl"", ""CCl"", ""[OH]"", ""CCl"", ""CCl"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-47.47021472545302, 0.5083972507599498]","[-14.471398992457978, 0.8352171387200786]","[5.42975871878154e-09, 1.1068658861409564e-09]","[330.75376699425675, 110.80910910783085]"
00732,"[""CBr"", ""CBr"", ""CBr"", ""[OH]"", ""CBr"", ""CBr"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-41.698332385970666, 0.707450503973894]","[-14.555558520941531, 1.5246233221174856]","[5.4920223746686965e-08, 1.557345287963277e-08]","[342.22235642553875, 209.1886191552167]"
00737,"[""CF"", ""[OH]"", ""[OH]"", ""CF"", ""[OH]"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-40.56593823634942, 0.5760896144201499]","[-12.224392150690932, 0.97457299413897]","[8.642342288161077e-08, 1.9975175917159283e-08]","[134.45460263228114, 52.55737096779473]"
00794,"[""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-47.52232128550744, 0.9659537860874701]","[-19.696370780445402, 1.6307031834297252]","[5.31361517086136e-09, 2.0580005437308088e-09]","[2689.3492168859566, 1758.6634908668143]"
00795,"[""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""[OH]"", ""OC(F)(F)C(F)(F)F"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-37.25988667690598, 0.9527713895408089]","[-0.5186563687224179, 2.343677299096129]","[3.2544225371805487e-07, 1.243040425766923e-07]","[1.2313312094047388, 1.1570358541039791]"
00797,"[""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""OC(F)(F)C(F)(F)F"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-51.3493011725278, 1.7510373151906709]","[-26.369370879891378, 2.351906148040218]","[1.1447856555911236e-09, 8.032865137940481e-10]","[39072.00893395214, 36830.61302673736]"
00806,"[""OCCl"", ""OCCl"", ""OCCl"", ""OCCl"", ""[OH]"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-46.48211554652879, 0.656102633983855]","[-13.519871789447194, 1.1812961986870452]","[8.061111496475006e-09, 2.1213057019824565e-09]","[226.15232128231762, 107.13391376180554]"
01312,"[""COC"", ""COC"", ""COC"", ""COC"", ""[OH]"", ""COC"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-33.16845550001868, 0.49201192817023975]","[-6.792738495160073, 1.0233192968008369]","[1.6781793624643254e-06, 3.308713027838964e-07]","[15.232305329856556, 6.248865984945415]"
