probe ID,primary,secondary,dG_md,ddG_md,Kd_md,Kd_SDS/Kd_PFOS
00014,"[""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-50.50763745854527, 1.4197989045709272]","[-27.29386740810415, 2.3824149801953802]","[1.606726624342605e-09, 9.145777821156286e-10]","[56504.48636174351, 53978.60828009184]"
00015,"[""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)F""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-37.880463170118304, 1.03534948245085]","[-19.12093073279004, 1.600857825226719]","[2.5366826794619396e-07, 1.0522042246382495e-07]","[2135.184099420085, 1369.9047804432264]"
00016,"[""C(F)(F)F"", ""[OH]"", ""[OH]"", ""[OH]"", ""C(F)(F)F"", ""[OH]"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-33.2147741777154, 0.48023641860658445]","[-13.704743398757408, 0.8679281808054521]","[1.6473423587575448e-06, 3.173246480543295e-07]","[243.3363363224694, 84.7012987054294]"
00018,"[""C(F)(F)F"", ""C(F)(F)F"", ""C(F)(F)F"", ""C(F)(F)F"", ""C(F)(F)F"", ""C(F)(F)F"", ""C(F)(F)F""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-52.829795746894, 0.9489176352514258]","[-8.020048989710638, 2.3570335882639637]","[6.328481025848648e-10, 2.408551103667221e-10]","[24.916799043794143, 23.545007700115555]"
00019,"[""C(F)(F)F"", ""C(F)(F)F"", ""C(F)(F)F"", ""C(F)(F)F"", ""C(F)(F)F"", ""C(F)(F)F"", ""C(F)(F)F"", ""C(F)(F)F""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-38.26050457744686, 0.6489082450815961]","[-10.206327843063562, 1.1797708485197331]","[2.1789134008946652e-07, 5.666363950204495e-08]","[59.85648762614947, 28.30856670020755]"
00020,"[""CCC"", ""CCC"", ""CCC"", ""CCC"", ""CCC"", ""CCC"", ""CCC""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-59.20616134737421, 1.1190126416616453]","[-16.144099291900538, 2.339664104827205]","[4.910474351823258e-11, 2.2026647821917767e-11]","[647.2145543696781, 606.8911056832849]"
00021,"[""CCC"", ""CCC"", ""CCC"", ""CCC"", ""CCC"", ""CCC"", ""CCC"", ""CCC""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-58.37645068476684, 1.315242637032796]","[-21.813714525645622, 2.4785210239545195]","[6.853342003313369e-11, 3.6140291595235664e-11]","[6279.962228474746, 6240.861115059848]"
00022,"[""CC"", ""CC"", ""CC"", ""CC"", ""CC"", ""CC"", ""CC""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-60.48284435711601, 0.6856288816763226]","[-18.058448845571952, 2.0665831151879877]","[2.944406624919765e-11, 8.091866733454177e-12]","[1394.177226243945, 1155.0790976137519]"
00023,"[""CC"", ""CC"", ""CC"", ""CC"", ""CC"", ""CC"", ""CC"", ""CC""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-53.32024381074583, 0.5581813737109402]","[-14.155520242433234, 1.4527773273196034]","[5.200921917998306e-10, 1.1633680091985376e-10]","[291.57609789751945, 169.82577268714633]"
00024,"[""CCl"", ""CCl"", ""[OH]"", ""[OH]"", ""CCl"", ""CCl"", ""CCl""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-51.474539951415366, 0.9720141096811044]","[-11.576887828394874, 1.938504425509259]","[1.0903585766557421e-09, 4.2492350371485753e-10]","[103.6611603274493, 80.53007846016007]"
